"FileType","Count","TotalSizeMB","LatestUpdate"
"","584","1.09","8/22/2025 6:13:26 PM"
".APACHE2","1","0.00","8/15/2025 11:34:35 PM"
".babelrc","3","0.00","8/15/2025 11:34:33 PM"
".bat","3","0.00","8/15/2025 11:34:36 PM"
".bazelversion","1","0.00","8/15/2025 11:34:33 PM"
".bmp","2","0.03","8/22/2025 6:11:51 PM"
".bnf","4","0.00","8/15/2025 11:34:34 PM"
".BSD","3","0.00","8/15/2025 11:34:35 PM"
".c","2","0.00","8/15/2025 11:34:33 PM"
".cc","11","0.16","8/15/2025 11:34:36 PM"
".cjs","33","1.51","8/15/2025 11:34:35 PM"
".cmd","36","0.01","8/22/2025 6:11:50 PM"
".crt","3","0.00","8/15/2025 11:34:36 PM"
".cs","1","0.01","8/15/2025 11:34:36 PM"
".css","4","0.01","8/15/2025 11:34:37 PM"
".csv","2","2.57","8/23/2025 12:56:57 PM"
".cts","18","0.12","8/15/2025 11:34:36 PM"
".def","5","0.02","8/15/2025 11:34:36 PM"
".dll","5","199.37","8/22/2025 6:11:51 PM"
".dockerignore","1","0.00","8/15/2025 11:34:33 PM"
".e32","2","3.62","8/22/2025 6:11:51 PM"
".editorconfig","11","0.00","8/15/2025 11:34:34 PM"
".ejs","4","0.00","8/15/2025 11:34:35 PM"
".el","2","0.01","8/15/2025 11:34:36 PM"
".env","1","0.00","8/15/2025 8:13:09 PM"
".eslintrc","47","0.01","8/15/2025 11:34:36 PM"
".evn","1","0.00","8/15/2025 10:24:14 PM"
".exe","3","28.60","8/22/2025 6:11:51 PM"
".exp","1","0.00","8/15/2025 11:35:58 PM"
".filters","2","0.01","8/15/2025 11:35:42 PM"
".flake8","1","0.00","8/15/2025 11:34:33 PM"
".fontified","1","0.16","8/15/2025 11:34:37 PM"
".gif","1","0.00","8/15/2025 11:34:35 PM"
".gitattributes","5","0.00","8/22/2025 6:11:50 PM"
".gitignore","4","0.00","8/22/2025 6:13:26 PM"
".gitkeep","2","0.00","8/15/2025 11:34:35 PM"
".go","14","0.13","8/22/2025 6:11:51 PM"
".gyp","9","0.05","8/15/2025 11:34:37 PM"
".gypi","10","0.03","8/15/2025 11:35:39 PM"
".gz","1","3.06","8/15/2025 11:34:38 PM"
".h","35","0.92","8/15/2025 11:34:38 PM"
".html","20","2.71","8/15/2025 11:34:37 PM"
".ico","6","0.11","8/22/2025 6:11:50 PM"
".ignore","1","0.00","8/15/2025 11:34:33 PM"
".iml","2","0.00","8/15/2025 11:34:34 PM"
".info","1","0.01","8/15/2025 11:34:37 PM"
".iobj","1","1.39","8/15/2025 11:36:01 PM"
".ipdb","1","0.38","8/15/2025 11:36:00 PM"
".isl","1","0.02","8/22/2025 6:11:50 PM"
".iss","2","0.03","8/22/2025 6:11:51 PM"
".js","12307","102.79","8/23/2025 12:40:20 PM"
".jscsrc","1","0.00","8/15/2025 11:34:33 PM"
".jshintrc","8","0.01","8/15/2025 11:34:36 PM"
".json","758","5.17","8/22/2025 8:45:31 PM"
".jst","25","0.05","8/15/2025 11:34:39 PM"
".key","2","0.00","8/15/2025 11:34:38 PM"
".lastbuildstate","2","0.00","8/15/2025 11:36:03 PM"
".lib","2","44.03","8/15/2025 11:35:58 PM"
".lock","4","0.10","8/15/2025 11:34:45 PM"
".log","2","0.05","8/15/2025 11:34:35 PM"
".map","3221","200.24","8/15/2025 11:34:48 PM"
".markdown","7","0.02","8/15/2025 11:34:37 PM"
".md","874","7.25","8/22/2025 6:11:50 PM"
".md~","1","0.00","8/15/2025 11:34:35 PM"
".MIT","1","0.00","8/15/2025 11:34:35 PM"
".mjs","38","1.05","8/15/2025 11:34:48 PM"
".mod","1","0.00","8/22/2025 6:11:51 PM"
".mts","8","0.06","8/15/2025 11:34:36 PM"
".nix","1","0.00","8/15/2025 11:34:45 PM"
".node","13","3.08","8/15/2025 11:36:02 PM"
".npmignore","28","0.00","8/15/2025 11:34:35 PM"
".nvmrc","1","0.00","8/15/2025 11:34:34 PM"
".nycrc","29","0.01","8/15/2025 11:34:34 PM"
".obj","3","2.26","8/15/2025 11:35:55 PM"
".opts","1","0.00","8/15/2025 11:34:36 PM"
".pbfilespec","1","0.00","8/15/2025 11:34:39 PM"
".pdb","1","4.14","8/15/2025 11:36:02 PM"
".pem","1","0.00","8/15/2025 11:34:36 PM"
".php","1","0.00","8/15/2025 11:34:36 PM"
".png","5","0.03","8/15/2025 11:34:37 PM"
".prettierrc","1","0.00","8/15/2025 11:34:34 PM"
".proto","1","0.01","8/15/2025 11:34:41 PM"
".ps1","33","0.03","8/15/2025 11:34:53 PM"
".py","53","1.29","8/15/2025 11:34:41 PM"
".rdb","1","0.00","8/16/2025 1:38:20 AM"
".recipe","2","0.00","8/15/2025 11:36:03 PM"
".sh","8","0.02","8/22/2025 6:13:26 PM"
".sln","1","0.00","8/15/2025 11:35:42 PM"
".sum","1","0.01","8/22/2025 6:11:51 PM"
".tar","1","0.00","8/15/2025 11:34:36 PM"
".tlog","10","0.08","8/15/2025 11:36:03 PM"
".ts","4514","15.55","8/15/2025 11:34:50 PM"
".tsbuildinfo","2","0.46","8/15/2025 11:34:48 PM"
".txt","39","5.84","8/22/2025 7:48:33 PM"
".vbs","3","0.00","8/22/2025 6:11:50 PM"
".vcxproj","2","0.02","8/15/2025 11:35:42 PM"
".xclangspec","1","0.00","8/15/2025 11:34:40 PM"
".xml","10","0.01","8/15/2025 11:34:37 PM"
".yaml","3","0.00","8/15/2025 11:34:38 PM"
".yml","115","0.07","8/22/2025 6:11:50 PM"
".zip","1","2.70","8/22/2025 6:11:16 PM"
